ae_image_path,light_environment,confidence_vector
ImageNet-ES-Diverse\ImageNet-ES-Diverse\es-diverse-test\auto_exposure\l1\param_1\n01443537\ILSVRC2012_val_00000994.JPEG,l1,"[9.9972904e-01 1.5617248e-01 2.1404453e-04 1.2497203e-01 8.9923638e-01
 2.2926800e-01 1.0188154e-03 1.4614690e-03 1.9055886e-02 9.5291156e-01
 8.7280351e-01 4.7774235e-04 1.6678749e-03 3.4892702e-01 8.6024952e-01
 1.0338571e-03 1.1025285e-03 4.5189337e-04 2.7731648e-01 1.0000000e+00
 1.5642571e-01 9.6304255e-04 1.9584997e-03 2.3820635e-02 1.1046232e-03
 1.0838240e-03 1.0975002e-03]"
ImageNet-ES-Diverse\ImageNet-ES-Diverse\es-diverse-test\auto_exposure\l1\param_1\n01443537\ILSVRC2012_val_00002848.JPEG,l1,"[1.75440952e-01 1.37959700e-03 2.21631592e-04 1.06823996e-01
 6.18000507e-01 7.70745194e-03 9.95278591e-04 1.41495827e-03
 5.43804727e-02 4.47510689e-01 6.57996476e-01 3.78724711e-04
 1.96319679e-03 1.05278015e-01 1.63204908e-01 1.10477849e-03
 9.73823830e-04 1.46893109e-03 4.66946155e-01 1.00000000e+00
 1.99260795e-03 1.04785140e-03 2.90916883e-03 5.77387810e-01
 1.14938978e-03 1.01820612e-03 1.23626040e-03]"
ImageNet-ES-Diverse\ImageNet-ES-Diverse\es-diverse-test\auto_exposure\l1\param_1\n01443537\ILSVRC2012_val_00019459.JPEG,l1,"[6.0377147e-02 8.9970353e-04 5.6929700e-04 4.3373829e-01 5.8657801e-01
 1.2952740e-03 2.5566064e-03 7.1234936e-03 9.7522857e-03 1.8201751e-01
 1.9324888e-02 5.6929700e-04 8.0796368e-03 1.0000000e+00 6.5859266e-02
 2.6916231e-03 2.5818383e-03 5.3364770e-03 6.3499451e-01 5.2545649e-01
 1.5702923e-03 2.5158932e-03 1.4541574e-02 1.1327851e-02 3.0330194e-03
 2.6866619e-03 2.5116340e-03]"
ImageNet-ES-Diverse\ImageNet-ES-Diverse\es-diverse-test\auto_exposure\l1\param_1\n01443537\ILSVRC2012_val_00045761.JPEG,l1,"[0.31888127 0.01461273 0.00423365 0.43621734 1.         0.03166521
 0.01933487 0.04320708 0.07314876 0.3445431  0.03162407 0.00423365
 0.04144148 0.5581592  0.14881109 0.02061155 0.01992396 0.02263227
 0.5007011  0.24174105 0.02171564 0.01855955 0.10982256 0.15174013
 0.02101837 0.01850754 0.02333499]"
ImageNet-ES-Diverse\ImageNet-ES-Diverse\es-diverse-test\auto_exposure\l1\param_1\n01629819\ILSVRC2012_val_00001816.JPEG,l1,"[0.87829995 0.02797326 0.00155356 0.03174641 0.5926622  0.0832094
 0.00163933 0.00628654 0.20279486 0.1960236  0.21536118 0.00322315
 0.00530971 0.10148159 1.         0.00169713 0.00200378 0.02874465
 0.0467639  0.9527069  0.02164224 0.00180908 0.01723014 0.29235888
 0.00180478 0.00171523 0.00431512]"
ImageNet-ES-Diverse\ImageNet-ES-Diverse\es-diverse-test\auto_exposure\l1\param_1\n01629819\ILSVRC2012_val_00039753.JPEG,l1,"[3.27052504e-01 2.10598689e-02 1.07371213e-03 1.91132203e-02
 3.47394735e-01 9.20223594e-01 1.18251599e-03 1.71611388e-03
 8.15735850e-03 1.12870984e-01 1.00000000e+00 8.98139377e-04
 1.36697886e-03 2.12659892e-02 4.05791372e-01 1.35513477e-03
 1.33461715e-03 1.87567365e-03 7.11877570e-02 2.35529810e-01
 1.02809370e-01 1.27059210e-03 3.56822787e-03 1.10159963e-02
 1.42571598e-03 1.38538913e-03 1.43444701e-03]"
ImageNet-ES-Diverse\ImageNet-ES-Diverse\es-diverse-test\auto_exposure\l1\param_1\n01629819\ILSVRC2012_val_00046243.JPEG,l1,"[9.3216896e-01 3.8508773e-03 6.5515505e-04 4.2157653e-03 8.1692749e-01
 4.7345310e-01 7.0829241e-04 6.3572376e-04 1.2803103e-03 5.8595258e-01
 1.0000000e+00 6.8745343e-04 6.3284364e-04 3.9335014e-03 6.8593037e-01
 8.2279660e-04 7.2551059e-04 4.9821299e-04 6.7875660e-03 7.7303159e-01
 6.1820555e-02 7.2946376e-04 1.1383648e-03 1.5463871e-03 8.3916856e-04
 7.4185926e-04 7.1403832e-04]"
ImageNet-ES-Diverse\ImageNet-ES-Diverse\es-diverse-test\auto_exposure\l1\param_1\n01629819\ILSVRC2012_val_00046985.JPEG,l1,"[0.87055314 0.01581844 0.01674153 0.08056165 0.78060555 0.12483139
 0.01836153 0.01967316 0.00802564 1.         0.05964685 0.017775
 0.01785376 0.02622704 0.02433633 0.01942421 0.01738249 0.00648993
 0.08705006 0.14954387 0.01292235 0.01805787 0.0204275  0.03711765
 0.02087274 0.01985899 0.01116442]"
ImageNet-ES-Diverse\ImageNet-ES-Diverse\es-diverse-test\auto_exposure\l1\param_1\n01641577\ILSVRC2012_val_00016782.JPEG,l1,"[0.8463555  0.02289961 0.00978978 0.05543537 0.6452471  0.03725427
 0.00929006 0.01776766 0.03722884 1.         0.32167047 0.02149973
 0.01239224 0.06177236 0.23755835 0.01054669 0.00988972 0.00698026
 0.10743041 0.19124761 0.02431523 0.00853837 0.02989825 0.1120588
 0.01068772 0.01056207 0.00651642]"
ImageNet-ES-Diverse\ImageNet-ES-Diverse\es-diverse-test\auto_exposure\l1\param_1\n01641577\ILSVRC2012_val_00027869.JPEG,l1,"[1.00000000e+00 9.43268067e-04 1.27876271e-03 1.44772185e-02
 1.07088171e-01 2.95379013e-02 1.15762907e-03 1.38703780e-03
 1.12113524e-02 2.77210474e-01 4.05155003e-01 2.12738593e-03
 1.52409729e-03 3.44752595e-02 1.92829981e-01 1.26868929e-03
 1.16279908e-03 1.02022546e-03 3.86576839e-02 1.97313979e-01
 1.66703505e-03 1.08390348e-03 3.38892336e-03 6.60074921e-03
 1.44261413e-03 1.25278754e-03 8.07967619e-04]"
ImageNet-ES-Diverse\ImageNet-ES-Diverse\es-diverse-test\auto_exposure\l1\param_1\n01641577\ILSVRC2012_val_00043312.JPEG,l1,"[6.4357275e-01 1.0986651e-02 2.1193847e-03 6.8581305e-02 2.3383202e-01
 8.4740385e-02 1.6637297e-03 3.7067889e-03 6.3704804e-02 1.6550052e-01
 1.0000000e+00 1.9285098e-03 2.5678710e-03 9.7715840e-02 1.0486251e-01
 1.8796704e-03 1.7038148e-03 1.2435622e-03 1.2214310e-01 6.4184028e-01
 9.3666706e-03 1.6727282e-03 4.4760364e-03 1.6719682e-02 2.2012221e-03
 1.8848269e-03 9.5912616e-04]"
ImageNet-ES-Diverse\ImageNet-ES-Diverse\es-diverse-test\auto_exposure\l1\param_1\n01641577\ILSVRC2012_val_00049119.JPEG,l1,"[1.         0.00254824 0.00342129 0.21673709 0.37174714 0.12610626
 0.00292933 0.02402214 0.10584497 0.33898088 0.5179751  0.00523609
 0.01743597 0.18311624 0.4637005  0.00351942 0.00339552 0.03071753
 0.4314823  0.45973033 0.01411729 0.00327813 0.0520508  0.04969954
 0.00380676 0.00350323 0.00295033]"
ImageNet-ES-Diverse\ImageNet-ES-Diverse\es-diverse-test\auto_exposure\l1\param_1\n01644900\ILSVRC2012_val_00005450.JPEG,l1,"[8.0433840e-01 1.3670624e-02 6.2671042e-04 7.1690334e-03 7.4870236e-02
 2.1941734e-02 1.9271536e-03 2.3875772e-03 1.9424722e-03 3.2534608e-01
 1.0000000e+00 5.6666957e-04 2.8121078e-03 1.8945961e-03 7.4063907e-03
 2.1161970e-03 2.0891954e-03 9.5810724e-04 3.1095440e-03 5.5163479e-01
 1.1545471e-03 2.2227827e-03 3.5488282e-03 1.8713124e-03 2.2101477e-03
 1.8487459e-03 1.7974374e-03]"
ImageNet-ES-Diverse\ImageNet-ES-Diverse\es-diverse-test\auto_exposure\l1\param_1\n01644900\ILSVRC2012_val_00032415.JPEG,l1,"[0.58074546 0.19083974 0.00355486 0.00993335 0.01927895 0.09135995
 0.01364958 0.01721002 0.01351032 0.16008872 1.         0.00169194
 0.01353023 0.02087709 0.0053497  0.0124166  0.01248093 0.01248188
 0.01905496 0.4480019  0.47563675 0.01237046 0.02032553 0.01951484
 0.01286064 0.01299423 0.00999674]"
ImageNet-ES-Diverse\ImageNet-ES-Diverse\es-diverse-test\auto_exposure\l1\param_1\n01644900\ILSVRC2012_val_00033769.JPEG,l1,"[0.11826497 0.03072028 0.04814165 0.05294331 0.27076948 0.04799634
 0.13969901 0.22865489 0.02299279 1.         0.03110476 0.05224483
 0.22655791 0.17455177 0.02587266 0.15236092 0.14265007 0.13464166
 0.22832422 0.17870629 0.04793461 0.14096424 0.20636372 0.00456858
 0.16736697 0.15608205 0.11170038]"
